wallet	avg_apr	total_pos_number	total_positions_earn_fees	total_fees_collected_usd	top_3_apr	top_10_apr	max_apr	min_apr	avg_hold_time
0x36958891d6a3e16d1139bf26dd0443bc6145afcb	0.00	1	0	0.00	0.00	0.00	0.00	0.00	120.14
0xde493f663b58edb816fdea806cdcc93e313b9add	0.00	1	0	0.00	0.00	0.00	0.00	0.00	109.38
0x48ef837eb7d689b4f992c2f3a667a38d70b4ff1f	0.00	1	0	0.00	0.00	0.00	0.00	0.00	104.48
0xbcb7d71560ae14f59666dcad2e7f2150b8dad281	0.00	1	0	0.00	0.00	0.00	0.00	0.00	98.16
0x7eba75537b2fb82d9632b27870b46a63610c37e1	0.00	1	0	0.00	0.00	0.00	0.00	0.00	95.44
0x043630a0ac4f0b10f49a7999d44e09b058789a71	0.00	1	0	0.00	0.00	0.00	0.00	0.00	94.22
0xe99449fbf363254102c5b316dea1564bde9f8e9c	0.00	1	0	0.00	0.00	0.00	0.00	0.00	91.14
0xfad7f2093263fe7518c9e428737d910fea414d6a	0.00	1	0	0.00	0.00	0.00	0.00	0.00	90.68
0x6b539142c4a86bfa91497abae86edb4d0e074673	0.00	1	0	0.00	0.00	0.00	0.00	0.00	90.60
0x5864b5fb6c73cb6ff7bc111cfdc9c3233506c57e	0.00	1	0	0.00	0.00	0.00	0.00	0.00	77.11
0xa2d0f0c525ee6c320b5b4cab8ce6473e16cfbf89	0.00	1	0	0.00	0.00	0.00	0.00	0.00	75.97
0x53d12ae5d81f084773c2c4abf2fe71214ce1e0aa	0.00	1	0	0.00	0.00	0.00	0.00	0.00	72.94
0xbc9abb83a35ac1462e5b83003b1a889bd60c0ec8	0.00	1	0	0.00	0.00	0.00	0.00	0.00	72.40
0x994919a6f74ee906dc93baba57f4aff80c0b1146	0.00	1	0	0.00	0.00	0.00	0.00	0.00	68.72
0x1469a0e538ab72bbf04557debad653b1831f54e9	0.00	1	0	0.00	0.00	0.00	0.00	0.00	66.27
0x820deef84404adf3710d150205bad730a50445f8	0.00	2	0	0.00	0.00/0.00	0.00/0.00	0.00	0.00	57.21
0x0c2109b36f7604bd86890c14a908717706b94597	0.00	1	0	0.00	0.00	0.00	0.00	0.00	57.64
0xc80efa6e5d8ba66b8c55e3629b96f94e3d3ff041	0.00	1	0	0.00	0.00	0.00	0.00	0.00	54.20
0x8555c5f95c85a43e7df1229e566ae33d1ff89978	0.00	1	0	0.00	0.00	0.00	0.00	0.00	42.96
0x6414e483306b7adc1aa9cafe6e8925ffe2d96702	0.00	1	0	0.00	0.00	0.00	0.00	0.00	41.75
0xa9cf2e5b8a5fcb5b5a8f87b63362230d2e254a30	0.00	1	0	0.00	0.00	0.00	0.00	0.00	41.06
0xa514f2d36662bc0affa12d28437084ded2a97b8b	0.00	1	0	0.00	0.00	0.00	0.00	0.00	38.73
0x7e591fac19e2646f190c02ce6791aa2d05fcc785	0.00	1	0	0.00	0.00	0.00	0.00	0.00	36.15
0xa73e70b9c4a65f2d670dbc3e3e301f2827244f1d	0.00	1	0	0.00	0.00	0.00	0.00	0.00	32.31
0x4d9f6a6da7c8c868bdf16d43cfb6d458d02ddfda	0.00	1	0	0.00	0.00	0.00	0.00	0.00	20.76
0x04c9803e485629c8654dc555f812eccef3c096da	0.00	1	0	0.00	0.00	0.00	0.00	0.00	19.33
0x0ff580075febfab9be6ac8bb89fa09bcb8b517bd	0.00	1	0	0.00	0.00	0.00	0.00	0.00	18.79
0x72dedf7d4db49c3f3bbbbd824874b1c49a42e6e7	0.00	1	0	0.00	0.00	0.00	0.00	0.00	18.45
0x6cc368e41fc1ce3573d95e13dd6aebe10feea243	0.00	1	0	0.00	0.00	0.00	0.00	0.00	5.32
0xec39be1abce3f9af3a6a5a738bcdf915e07fb4fe	0.00	1	0	0.00	0.00	0.00	0.00	0.00	4.58
0xe5c654f2593ddbb6af8d2105647660511a4a19ea	0.00	1	0	0.00	0.00	0.00	0.00	0.00	3.46
